LEAGUE,TWEET
NBA,Unusual recent sight at FedExForum: Fans leaving midway in 4th qtr because #Griz are blowing out opponent. #NBA #PlayoffReady #Bulls
NBA,RT @thomasj17431826: AUDIO OF DONALD TRUMP THUG THREATENING TO SLIT THROAT OF ABUSED WOMEN WHO FILED CHARGES
NBA,Sorry #Bucks fans. It's #CavsNation tonight! 109-80 Final score
NBA,#CavsBucks #Cavs win by 29 #nba #NBAPlayoffs
NBA,RT @NHL2Seattle: I'm starting to feel a little bit more "shovel ready" lately  how about you? #NHL #Seattle #seattlearena #vacation #NBA @S…
NBA,#NBA #Thunder Youth L ADIDAS NBA Authentic OKC Oklahoma City Thunder Hoodie Sweatshirt Top https://t.co/sWZAJP4AKD #Deals #Bargains
NBA,#NBA #Celtics 2013/14 Panini Crusade JARED SULLINGER JERSEY QUEST CELTICS /25 E3684 https://t.co/3MaQ6AvObr #TFBJP
NBA,#Oklahoma #Thunder OKC OKLAHOMA CITY THUNDER "ADIDAS" KEVIN DURANT RARE ALTERNATE JERSEY Size XL https://t.co/0Nqp9E80Is #NBA #Durant
NBA,E deu Cleveland. 109-80. 
NBA,JR Smith tava endiabrado hoje. Gastou a bola. 👏🏀#NBA #Cavs
NBA,#nba Seriously  is there anyone in the association that travels more than LeBron and GETS AWAY WITH IT? #HappyFeet #Cavs #FranchiseClause
NBA,76ers se aleja del peor record de su historia al ganar a New Orleans. https://t.co/US98n4ekkl vía @siempresport #NBA #76ers #Philadelphia
NBA,Can I just say "Wow"? #COED #branding #iloveitthough #NBA #basketball #getfitstayfit #sports #competition #healthyliving #gymgoals #gymlife
NBA,14-1 these last few 🏀 days.. We been hooping. ..n my finger still in the sling off the court. 💪 🏀#NBA #BALLISLIFE #IjcHtc💪
NBA,RT @CavsNationNet: Oh my goodness  JR.... Number 7! #CavsNation #Cavs #Bucks #NBA https://t.co/0KMF5rGGQ0
NBA,The experts are calling @LineStarApp the Fast Track to #DFS Success! Don't wait any longer! → https://t.co/m67TL34oxg 🔥  #NBA #MLB #NHL #PGA
NBA,Boy get out of here with that red velvet Tyler perry grandma hat At the game ! #exposed @nba #nba https://t.co/cIMfgavltT
NBA,Si vas a un juego de la #nba no puedes perder un chance así. #reggiejackson https://t.co/qbPBsdgo9P
NBA,#NBA Nick Young Secretly Filmed By Teammate  Admits He Cheated on Iggy https://t.co/ZmB2RJfFxR
NBA,RT @CavsNationNet: Irving➡️Love➡️James!! #CavsNation #Cavs #Bucks #NBA https://t.co/4seAnrE2sK
NBA,Monroe Beats The Buzzer: Greg Monroe strokes the jumper to beat the first half buzzer. https://t.co/yqoogeBVNW #NBA
NBA,RT @NLVCommittee: Out of the 3 franchise's in the #NBA who is in a better position moving forward #futureofwork please &amp; vote #NLVC
